Entidad,Sexo,Puesto,minutos_app,total_encuestas,total_asist,Fecha
Nuevo León,Sin dato,Médica/o,654.2,6,9,2024-07-08
Oaxaca,Mujer,Verificador/a sanitario,82.2,0,5,2024-07-08
Nuevo León,Mujer,Pasante,0.0,0,0,2024-07-08
Querétaro,Mujer,Pasante,81.4,0,6,2024-07-08
Querétaro,Mujer,Médica/o residente,0.0,0,0,2024-07-08
Querétaro,Mujer,Enfermera/o,784.3,0,8,2024-07-08
Guanajuato,Mujer,Enfermera/o,698.0,0,8,2024-07-08
Campeche,Mujer,Enfermera/o,0.0,0,0,2024-07-08
Sonora,Sin dato,Médica/o,646.3,7,8,2024-07-08
Oaxaca,Mujer,Sin dato,665.0,0,9,2024-07-08
Oaxaca,Hombre,Administrativa/o,1.5,0,1,2024-07-08
Querétaro,Mujer,Administrativa/o,0.0,0,0,2024-07-08
Oaxaca,Sin dato,Pasante,0.0,7,0,2024-07-08
Sonora,Hombre,Estudiante de medicina,852.0,0,8,2024-07-08
Sonora,Hombre,Estudiante de medicina,0.0,0,0,2024-07-08
Sonora,Hombre,Estudiante de medicina,311.8,0,7,2024-07-08
Sonora,Hombre,Estudiante de medicina,259.9,0,4,2024-07-08
Sonora,Mujer,Estudiante de medicina,420.7,0,8,2024-07-08
Sonora,Mujer,Estudiante de medicina,325.8,0,7,2024-07-08
Sonora,Mujer,Estudiante de medicina,643.9,0,4,2024-07-08
Sonora,Mujer,Otro (Especifique),0.0,0,6,2024-07-08
Sonora,Hombre,Estudiante de medicina,312.6,0,8,2024-07-08
Sonora,Mujer,Estudiante de medicina,481.4,0,7,2024-07-08
Sonora,Mujer,Sin dato,0.0,0,2,2024-07-08
Sonora,Mujer,Estudiante de medicina,598.0,0,8,2024-07-08
Sonora,Mujer,Otro (Especifique),883.9,0,8,2024-07-08
Sonora,Hombre,Estudiante de medicina,329.8,0,8,2024-07-08
Sonora,Hombre,Otro (Especifique),666.5,0,9,2024-07-08
Sonora,Hombre,Estudiante de medicina,368.1,0,6,2024-07-08
Sonora,Hombre,Estudiante de medicina,0.0,0,0,2024-07-08
Sonora,Mujer,Médico/a Residente,530.1,0,9,2024-07-08
Sonora,Hombre,Médico/a Residente,0.0,0,0,2024-07-08
Campeche,Hombre,Administrativa/o,580.3,0,9,2024-07-08
Sonora,Mujer,Odontóloga/o,20.4,0,1,2024-07-08
Guanajuato,Mujer,Médica/o,771.5,0,9,2024-07-08
Campeche,Sin dato,Médica/o,0.0,7,0,2024-07-08
Oaxaca,Sin dato,Enfermera/o,362.8,7,7,2024-07-08
Campeche,Mujer,Enfermera/o,656.1,7,9,2024-07-08
Oaxaca,Mujer,Odontóloga/o,0.0,0,4,2024-07-08
Sonora,Hombre,Estudiante de medicina,799.2,0,8,2024-07-08
Sonora,Hombre,Psicóloga/o,181.4,0,9,2024-07-08
Nuevo León,Sin dato,Trabajador/a social,1280.8,7,9,2024-07-08
Guanajuato,Hombre,Técnica/o,0.0,0,0,2024-07-08
Sonora,Mujer,Médica/o residente,0.0,0,0,2024-07-08
Coahuila,Mujer,Trabajador/a social,504.6,0,9,2024-07-08
Campeche,Sin dato,Sin dato,0.0,0,1,2024-07-08
Coahuila,Hombre,Promotor/a En Salud,300.0,0,9,2024-07-08
Campeche,Mujer,Administrativa/o,50.0,0,0,2024-07-08
Oaxaca,Mujer,"Coordinador/a, Responsable O Supervisión De Área",435.7,0,9,2024-07-08
Campeche,Mujer,Psicóloga/o,0.0,0,1,2024-07-08
Oaxaca,Mujer,Enfermera/o,641.9,0,3,2024-07-08
Coahuila,Mujer,Enfermera/o,691.3,0,9,2024-07-08
Nuevo León,Sin dato,Médica/o,928.6,7,2,2024-07-08
Nuevo León,Mujer,Médica/o,0.0,0,0,2024-07-08
Coahuila,Mujer,Pasante,0.0,0,0,2024-07-08
Nuevo León,Sin dato,"Coordinador/a, responsable o supervisión de área",0.0,7,1,2024-07-08
Sonora,Mujer,Otro (Especifique),497.4,0,8,2024-07-08
Querétaro,Mujer,Médica/o,993.8,0,9,2024-07-08
Sonora,Hombre,Otro (Especifique),300.0,0,7,2024-07-08
Sonora,Hombre,Administrativa/o,0.0,0,1,2024-07-08
Sonora,Mujer,Enfermera/o,29.8,0,2,2024-07-08
Oaxaca,Sin dato,Pasante,0.0,6,0,2024-07-08
Oaxaca,Mujer,Médica/o,659.1,0,9,2024-07-08
Campeche,Mujer,Enfermera/o,11.8,0,0,2024-07-08
Campeche,Mujer,Administrativa/o,0.1,7,1,2024-07-08
Sonora,Mujer,Pasante,9.4,0,0,2024-07-08
Campeche,Mujer,Enfermera/o,0.0,0,8,2024-07-08
Oaxaca,Mujer,Administrativa/o,229.2,0,8,2024-07-08
Oaxaca,Mujer,Médica/o,0.0,0,3,2024-07-08
Sonora,Mujer,Psicóloga/o,16.2,0,1,2024-07-08
Nuevo León,Sin dato,"Coordinador/a, responsable o supervisión de área",487.2,7,9,2024-07-08
Coahuila,Sin dato,Enfermera/o,11.7,5,2,2024-07-08
Querétaro,Mujer,Química/o,0.0,0,0,2024-07-08
Nuevo León,Sin dato,Sin dato,0.0,0,8,2024-07-08
Sonora,Mujer,Estudiante de medicina,109.4,0,3,2024-07-08
Jalisco,Hombre,Médica/o,682.8,0,9,2024-07-08
Coahuila,Hombre,Enfermera/o,0.0,0,2,2024-07-08
Querétaro,Mujer,Administrativa/o,0.0,0,1,2024-07-08
Nuevo León,Mujer,Administrativa/o,487.7,7,9,2024-07-08
Querétaro,Mujer,Médica/o,0.0,0,0,2024-07-08
Nuevo León,Mujer,Otro (Especifique),0.0,0,1,2024-07-08
Sonora,Mujer,Psicóloga/o,0.0,0,0,2024-07-08
Oaxaca,Mujer,"Coordinador/a, Responsable O Supervisión De Área",81.5,0,3,2024-07-08
Oaxaca,Mujer,Enfermera/o,0.0,0,0,2024-07-08
Campeche,Hombre,Técnica/o,634.9,0,9,2024-07-08
Campeche,Mujer,"Coordinador/a, Responsable O Supervisión De Área",716.0,0,8,2024-07-08
Nuevo León,Sin dato,Otro,508.6,7,9,2024-07-08
Sonora,Hombre,Administrativa/o,0.0,0,3,2024-07-08
Querétaro,Sin dato,Pasante,43.8,7,4,2024-07-08
Querétaro,Mujer,Médica/o residente,0.0,0,0,2024-07-08
Sonora,Mujer,Enfermera/o,1.3,0,0,2024-07-08
Nuevo León,Mujer,Médica/o,4.9,0,2,2024-07-08
Querétaro,Sin dato,Médica/o,0.0,7,1,2024-07-08
Coahuila,Mujer,Administrativa/o,0.0,0,0,2024-07-08
Sonora,Mujer,Estudiante de medicina,0.0,0,0,2024-07-08
Nuevo León,Mujer,Médica/o residente,0.0,0,0,2024-07-08
Sonora,Mujer,Trabajador/a social,0.0,0,0,2024-07-08
Sonora,Mujer,Enfermera/o,0.0,0,0,2024-07-08
Querétaro,Mujer,Enfermera/o,375.4,0,8,2024-07-08
Oaxaca,Hombre,Médica/o residente,0.0,0,0,2024-07-08
Campeche,Sin dato,Administrativa/o,0.0,7,0,2024-07-08
Nuevo León,Mujer,Enfermera/o,0.0,0,0,2024-07-08
Sonora,Sin dato,Otro,0.0,7,1,2024-07-08
Oaxaca,Mujer,Enfermera/o,0.0,6,9,2024-07-08
Querétaro,Sin dato,Administrativa/o,0.0,7,0,2024-07-08
Sonora,Mujer,Psicóloga/o,581.4,0,9,2024-07-08
Coahuila,Mujer,Enfermera/o,0.0,0,1,2024-07-08
Querétaro,Mujer,Pasante,0.0,0,0,2024-07-08
Coahuila,Mujer,Psicóloga/o,374.0,0,8,2024-07-08
Oaxaca,Mujer,Pasante,0.0,0,0,2024-07-08
Oaxaca,Mujer,"Coordinador/a, Responsable O Supervisión De Área",0.0,0,1,2024-07-08
Oaxaca,Mujer,Médica/o,300.0,0,6,2024-07-08
Guanajuato,Mujer,Médica/o residente,0.0,0,2,2024-07-08
Campeche,Mujer,Promotor/a En Salud,0.0,7,2,2024-07-08
Sonora,Mujer,Pasante,638.7,0,8,2024-07-08
Sonora,Mujer,Médica/o residente,0.0,0,1,2024-07-08
Oaxaca,Mujer,Sin dato,644.0,0,9,2024-07-08
Campeche,Sin dato,Personal directivo,670.2,7,9,2024-07-08
Campeche,Mujer,Pasante,0.0,0,0,2024-07-08
Campeche,Sin dato,Pasante,0.0,7,1,2024-07-08
Campeche,Mujer,Pasante,1.1,0,3,2024-07-08
Campeche,Mujer,Pasante,124.1,0,6,2024-07-08
Campeche,Hombre,Interna/o,0.0,0,0,2024-07-08
Campeche,Mujer,Pasante,423.2,0,8,2024-07-08
Campeche,Sin dato,Pasante,0.0,7,0,2024-07-08
Campeche,Hombre,Médica/o,0.0,0,0,2024-07-08
Campeche,Hombre,Interna/o,0.0,0,0,2024-07-08
Campeche,Hombre,Enfermera/o,0.0,0,0,2024-07-08
Nuevo León,Hombre,"Coordinador/a, Responsable O Supervisión De Área",0.0,0,1,2024-07-08
Querétaro,Hombre,Médica/o residente,0.0,0,0,2024-07-08
Sonora,Hombre,Estudiante de medicina,858.4,0,9,2024-07-08
Sonora,Hombre,Otro (Especifique),51.0,0,2,2024-07-08
Sonora,Hombre,Médica/o,0.0,7,0,2024-07-08
Coahuila,Mujer,Enfermera/o,0.0,0,2,2024-07-08
Ciudad de México,Mujer,Psicóloga/o,0.0,0,4,2024-07-08
Oaxaca,Mujer,"Coordinador/a, Responsable O Supervisión De Área",640.2,0,9,2024-07-08
Campeche,Sin dato,Enfermera/o,0.0,7,2,2024-07-08
Nuevo León,Sin dato,Médica/o,300.0,7,8,2024-07-08
Coahuila,Sin dato,Sin dato,1.0,0,4,2024-07-08
Sonora,Sin dato,Psicóloga/o,0.0,7,0,2024-07-08
Sonora,Hombre,Médica/o residente,0.0,0,0,2024-07-08
Sonora,Mujer,Administrativa/o,0.0,0,0,2024-07-08
Oaxaca,Hombre,Psicóloga/o,759.7,0,8,2024-07-08
Nuevo León,Sin dato,Promotor/a en salud,516.6,7,8,2024-07-08
Querétaro,Hombre,Médica/o,0.0,0,9,2024-07-08
Coahuila,Sin dato,Sin dato,347.7,0,8,2024-07-08
Nuevo León,Sin dato,Médica/o,780.9,7,8,2024-07-08
Coahuila,Mujer,Nutrióloga/o,0.3,0,9,2024-07-08
Nuevo León,Sin dato,Sin dato,19.8,0,7,2024-07-08
Coahuila,Sin dato,Sin dato,0.0,0,1,2024-07-08
Nuevo León,Mujer,Pasante,0.0,0,1,2024-07-08
Estado De México,Sin dato,Sin dato,0.0,0,1,2024-07-08
Jalisco,Sin dato,Sin dato,300.0,0,9,2024-07-08
Coahuila,Mujer,Interna/o,0.0,0,0,2024-07-08
AtentaMente,Mujer,Administrativa/o,647.4,0,9,2024-07-08
Coahuila,Mujer,Psicóloga/o,843.4,0,9,2024-07-08
Jalisco,Sin dato,Sin dato,0.0,0,1,2024-07-08
Ciudad De México,Mujer,"Coordinador/a, Responsable O Supervisión De Área",938.4,0,9,2024-07-08
Nuevo León,Mujer,"Coordinador/a, Responsable O Supervisión De Área",42.7,0,1,2024-07-08
Sonora,Mujer,Médica/o residente,0.0,0,0,2024-07-08
Querétaro,Mujer,Médica/o residente,0.0,0,0,2024-07-08
Querétaro,Mujer,Médica/o residente,0.0,0,1,2024-07-08
Campeche,Mujer,Enfermera/o,0.0,0,0,2024-07-08
Sonora,Mujer,Médica/o residente,126.3,0,9,2024-07-08
Nuevo León,Hombre,Personal Directivo,0.0,0,0,2024-07-08
Nuevo León,Hombre,Personal Directivo,0.0,0,0,2024-07-08
Sonora,Hombre,Docente,617.8,0,8,2024-07-08
Sonora,Sin dato,"Coordinador/a, responsable o supervisión de área",11.8,7,8,2024-07-08
Sonora,Hombre,Médica/o,5.9,0,8,2024-07-08
Sonora,Hombre,Médica/o residente,0.0,0,0,2024-07-08
Campeche,Hombre,Pasante,0.0,0,0,2024-07-08
Coahuila,Mujer,Psicóloga/o,0.0,0,0,2024-07-08
Querétaro,Mujer,Médica/o,0.0,0,0,2024-07-08
Coahuila,Mujer,"Coordinador/a, responsable o supervisión de área",57.0,0,2,2024-07-08
Querétaro,Mujer,Médica/o residente,0.0,0,0,2024-07-08
Campeche,Mujer,Psicóloga/o,0.0,7,0,2024-07-08
Coahuila,Mujer,Enfermera/o,1087.4,0,9,2024-07-08
Sonora,Sin dato,Médica/o,1072.4,7,9,2024-07-08
Coahuila,Mujer,Estudiante de medicina,42.0,0,8,2024-07-08
Coahuila,Sin dato,Sin dato,456.2,0,7,2024-07-08
Sonora,Mujer,Pasante,22.3,0,1,2024-07-08
Sonora,Mujer,Interna/o,446.0,0,8,2024-07-08
Coahuila,Hombre,Pasante,0.0,0,0,2024-07-08
Querétaro,Hombre,Médica/o residente,0.0,0,0,2024-07-08
Sonora,Mujer,Interna/o,0.0,0,0,2024-07-08
Coahuila,Hombre,Enfermera/o,718.9,0,8,2024-07-08
Oaxaca,Hombre,Enfermera/o,0.0,0,0,2024-07-08
Oaxaca,Mujer,Pasante,400.0,0,8,2024-07-08
Oaxaca,Mujer,Psicóloga/o,0.0,0,3,2024-07-08
Oaxaca,Mujer,Enfermera/o,0.0,0,0,2024-07-08
Sonora,Mujer,Sin dato,0.0,0,0,2024-07-08
Coahuila,Mujer,Psicóloga/o,1227.9,0,9,2024-07-08
Querétaro,Mujer,Psicóloga/o,0.0,0,0,2024-07-08
Querétaro,Mujer,Enfermera/o,0.0,0,0,2024-07-08
Querétaro,Sin dato,Médica/o,654.7,7,9,2024-07-08
Oaxaca,Mujer,Médica/o,0.0,0,7,2024-07-08
Nuevo León,Sin dato,Administrativa/o,681.8,7,9,2024-07-08
Coahuila,Mujer,Sin dato,0.0,0,0,2024-07-08
Nuevo León,Sin dato,Médica/o,107.7,6,4,2024-07-08
Querétaro,Mujer,Médica/o,0.0,0,5,2024-07-08
Sonora,Mujer,Otro (Especifique),845.0,0,8,2024-07-08
Querétaro,Sin dato,Médica/o,460.5,7,4,2024-07-08
Sonora,Sin dato,Sin dato,11.7,0,6,2024-07-08
Nuevo León,Sin dato,"Coordinador/a, responsable o supervisión de área",699.3,7,9,2024-07-08
Nuevo León,Mujer,Enfermera/o,0.0,0,0,2024-07-08
Campeche,Sin dato,Enfermera/o,652.2,7,8,2024-07-08
Nuevo León,Mujer,Enfermera/o,0.0,0,1,2024-07-08
Coahuila,Mujer,Médica/o,118.9,0,9,2024-07-08
Nuevo León,Mujer,Pasante,0.0,0,2,2024-07-08
AtentaMente,Mujer,Otro (Especifique),0.0,0,0,2024-07-08
Sonora,Mujer,Médica/o residente,0.0,0,2,2024-07-08
Coahuila,Mujer,Interna/o,502.6,0,4,2024-07-08
Nuevo León,Hombre,Psicóloga/o,375.7,0,7,2024-07-08
Querétaro,Mujer,Enfermera/o,0.0,0,0,2024-07-08
Oaxaca,Mujer,"Coordinador/a, Responsable O Supervisión De Área",682.4,0,9,2024-07-08
Sonora,Mujer,Médica/o,0.0,0,0,2024-07-08
Guanajuato,Hombre,Otro (Especifique),0.0,0,0,2024-07-08
Oaxaca,Mujer,Pasante,0.0,0,0,2024-07-08
Oaxaca,Mujer,Pasante,22.9,0,6,2024-07-08
Oaxaca,Mujer,Enfermera/o,782.0,0,9,2024-07-08
Querétaro,Mujer,Enfermera/o,175.2,0,5,2024-07-08
Coahuila,Sin dato,Estudiante de medicina,0.0,0,1,2024-07-08
Sonora,Hombre,Enfermera/o,0.0,0,1,2024-07-08
